ID_Participante;DNI;Nombres;Apellidos;Fecha_Prueba;Edad;Sexo;Nivel_TEA;Institucion;Ciudad;Distrito;Sesion;Sesiones_Completadas;Duracion_Minutos;Emociones_Correctas;Emociones_Incorrectas;Precision_Porcentaje;Tiempo_Respuesta_Promedio_Seg;Nivel_Dificultad;Intentos_Por_Emocion;Porcentaje_Predominante;Emocion_Predominante;Satisfaccion_Usuario;Facilidad_Uso;Continuaria_Usando;Observaciones
P037;72890124;Rodrigo Jesús;Contreras Moreno;2025-11-14;15;M;TEA Nivel 2;Centro TEA Tumbes;Tumbes;Tumbes;1;1;36;12;5;70.59;7.9;Medio;1.2;83.7;Feliz;4;4;Sí;Excelente progreso en reconocimiento emocional
P038;71901235;Ximena Gabriela;Delgado Ríos;2025-11-09;1;F;Síndrome de Asperger;Centro TEA Aguas Verdes;Zarumilla;Aguas Verdes;1;2;35;10;3;76.92;6.6;Medio;1.8;82.7;Enojado;3;3;Sí;Requirió apoyo adicional del terapeuta
P038;71901235;Ximena Gabriela;Delgado Ríos;2025-10-30;7;F;Síndrome de Asperger;Centro TEA Aguas Verdes;Zarumilla;Aguas Verdes;2;2;39;11;4;73.33;4.1;Medio;1.3;80.4;Neutral;4;5;Sí;Pidió repetir algunos ejercicios
P039;73012346;Hernán Felipe;Salinas Cortez;2025-11-15;13;M;TEA Nivel 1;Centro TEA San Juan de la Virgen;Tumbes;San Juan de la Virgen;1;1;35;17;6;73.91;3.8;Fácil;1.4;59.1;Neutral;5;5;Sí;Se distrajo en algunos momentos
P040;74123457;Yesenia Maribel;Mendoza Vargas;2025-11-10;10;F;TEA Nivel 2;Centro TEA Tumbes;Tumbes;Tumbes;1;1;27;8;10;44.44;6.5;Medio;3.0;74.3;Feliz;4;4;Sí;Pidió repetir algunos ejercicios
P041;73983862;Josué Joel;Prado Zárate;2025-10-30;15;M;TEA Nivel 2;Centro TEA Tumbes;Tumbes;Tumbes;1;1;45;12;10;54.55;7.9;Medio;1.6;43.8;Disgustado;5;4;Sí;Mostró gran interés en la actividad
P042;02832931;Isabel;Saucedo Andrade;2025-11-16;2;F;TEA Nivel 1;Centro TEA Tumbes;Tumbes;Tumbes;1;2;43;14;6;70.00;3.8;Fácil;1.2;67.2;Enojado;3;3;No;Dificultad con emociones complejas
P042;02832931;Isabel;Saucedo Andrade;2025-11-16;9;F;TEA Nivel 1;Centro TEA Tumbes;Tumbes;Tumbes;2;2;27;16;2;88.89;8.0;Fácil;1.5;75.2;Disgustado;4;3;No;Comprensión clara de las instrucciones
P043;05640916;Violeta;Ruiz Saavedra;2025-11-10;14;F;TEA Nivel 1;Centro TEA Tumbes;Tumbes;Tumbes;1;3;36;18;5;78.26;7.7;Fácil;1.2;49.0;Neutral;4;5;Sí;Requirió apoyo adicional del terapeuta
P043;05640916;Violeta;Ruiz Saavedra;2025-11-03;11;F;TEA Nivel 1;Centro TEA Tumbes;Tumbes;Tumbes;2;3;38;13;4;76.47;6.0;Medio;3.3;56.6;Triste;5;5;Sí;Excelente progreso en reconocimiento emocional
P043;05640916;Violeta;Ruiz Saavedra;2025-11-08;11;F;TEA Nivel 1;Centro TEA Tumbes;Tumbes;Tumbes;3;3;36;15;4;78.95;7.1;Medio;3.5;45.6;Triste;4;5;Sí;Pidió repetir algunos ejercicios
P044;77326403;Saúl;Peña Acaro;2025-11-16;7;M;TEA Nivel 3;Centro TEA Tumbes;Tumbes;Tumbes;1;3;35;9;11;45.00;6.7;Difícil;3.4;80.8;Triste;5;3;Sí;
P044;77326403;Saúl;Peña Acaro;2025-11-04;9;M;TEA Nivel 3;Centro TEA Tumbes;Tumbes;Tumbes;2;3;33;6;12;33.33;3.7;Difícil;2.9;67.9;Feliz;3;5;Sí;Mostró gran interés en la actividad
P044;77326403;Saúl;Peña Acaro;2025-10-29;3;M;TEA Nivel 3;Centro TEA Tumbes;Tumbes;Tumbes;3;3;44;10;11;47.62;7.3;Medio;2.3;84.5;Disgustado;3;3;Sí;Requirió apoyo adicional del terapeuta
P045;03371079;Fernando;Jara Ramos;2025-10-31;1;M;TEA Nivel 2;Centro TEA La Cruz;Tumbes;La Cruz;1;3;36;11;9;55.00;4.6;Medio;1.7;74.2;Triste;3;5;No;Dificultad con emociones complejas
P045;03371079;Fernando;Jara Ramos;2025-11-15;3;M;TEA Nivel 2;Centro TEA La Cruz;Tumbes;La Cruz;2;3;45;13;4;76.47;8.2;Medio;1.5;55.0;Disgustado;3;5;No;Se distrajo en algunos momentos
P045;03371079;Fernando;Jara Ramos;2025-11-12;12;M;TEA Nivel 2;Centro TEA La Cruz;Tumbes;La Cruz;3;3;35;10;9;52.63;4.7;Medio;2.1;73.4;Neutral;5;5;Sí;Excelente progreso en reconocimiento emocional
P046;46219639;Ignacio;Ramírez Martínez;2025-11-08;13;M;TEA Nivel 2;Centro TEA Corrales;Tumbes;Corrales;1;1;43;11;8;57.89;8.0;Medio;1.3;49.5;Disgustado;4;3;Sí;Comprensión clara de las instrucciones
P047;63270651;Deiser;García Velásquez;2025-11-08;4;M;TEA Nivel 1;Centro TEA Zarumilla;Tumbes;Zarumilla;1;1;38;15;6;71.43;3.5;Fácil;3.4;81.6;Neutral;3;3;No;Comprensión clara de las instrucciones
P048;47454121;Tania;Gonzales Vílchez;2025-11-15;10;F;TEA Nivel 1;Centro TEA Tumbes;Tumbes;Tumbes;1;1;38;15;2;88.24;6.9;Medio;1.8;58.9;Triste;5;3;No;Comprensión clara de las instrucciones
P049;76490189;Sofía;Vergara Vásquez;2025-11-02;12;F;TEA Nivel 1;Centro TEA Pampas de Hospital;Tumbes;Pampas de Hospital;1;1;44;14;4;77.78;7.4;Fácil;2.0;47.3;Neutral;3;5;Sí;
